"NAICS_Code","Industry","Emission_With_Margins","Quartile_Number","Emission_Level"
311612,Meat Processed from Carcasses,1.2790000438690186,1,Very High
311613,Rendering and Meat Byproduct Processing,1.2790000438690186,1,Very High
311513,Cheese Manufacturing,1.2589999437332153,1,Very High
212210,Iron Ore Mining,1.2330000400543213,1,Very High
212221,Gold Ore Mining,1.2330000400543213,1,Very High
212222,Silver Ore Mining,1.2330000400543213,1,Very High
212291,Uranium-Radium-Vanadium Ore Mining,1.2330000400543213,1,Very High
212299,All Other Metal Ore Mining,1.2330000400543213,1,Very High
325110,Petrochemical Manufacturing,1.1970000267028809,1,Very High
112310,Chicken Egg Production,1.1710000038146973,1,Very High
112320,Broilers and Other Meat Type Chicken Production,1.1710000038146973,1,Very High
112330,Turkey Production,1.1710000038146973,1,Very High
112340,Poultry Hatcheries,1.1710000038146973,1,Very High
112390,Other Poultry Production,1.1710000038146973,1,Very High
212230,"Copper, Nickel, Lead, and Zinc Mining",1.1649999618530273,1,Very High
325212,Synthetic Rubber Manufacturing,1.1360000371932983,1,Very High
325220,Artificial and Synthetic Fibers and Filaments Manufacturing,1.1360000371932983,1,Very High
325180,Other Basic Inorganic Chemical Manufacturing,1.1169999837875366,1,Very High
484110,"General Freight Trucking, Local",1.1150000095367432,1,Very High
484121,"General Freight Trucking, Long-Distance, Truckload",1.1150000095367432,1,Very High
484122,"General Freight Trucking, Long-Distance, Less Than Truckload",1.1150000095367432,1,Very High
484210,Used Household and Office Goods Moving,1.1150000095367432,1,Very High
484220,"Specialized Freight (except Used Goods) Trucking, Local",1.1150000095367432,1,Very High
484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance",1.1150000095367432,1,Very High
311224,Soybean and Other Oilseed Processing,1.090000033378601,1,Very High
325211,Plastics Material and Resin Manufacturing,1.0759999752044678,1,Very High
111411,Mushroom Production,1.0429999828338623,1,Very High
111419,Other Food Crops Grown Under Cover,1.0429999828338623,1,Very High
111421,Nursery and Tree Production,1.0429999828338623,1,Very High
111422,Floriculture Production,1.0429999828338623,1,Very High
311511,Fluid Milk Manufacturing,1.0390000343322754,1,Very High
311512,Creamery Butter Manufacturing,1.0390000343322754,1,Very High
331110,Iron and Steel Mills and Ferroalloy Manufacturing,0.9789999723434448,1,Very High
481111,Scheduled Passenger Air Transportation,0.9760000109672546,1,Very High
481112,Scheduled Freight Air Transportation,0.9760000109672546,1,Very High
481211,Nonscheduled Chartered Passenger Air Transportation,0.9760000109672546,1,Very High
481212,Nonscheduled Chartered Freight Air Transportation,0.9760000109672546,1,Very High
481219,Other Nonscheduled Air Transportation,0.9760000109672546,1,Very High
322110,Pulp Mills,0.9570000171661377,1,Very High
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",0.9459999799728394,1,Very High
324122,Asphalt Shingle and Coating Materials Manufacturing,0.9160000085830688,1,Very High
331315,"Aluminum Sheet, Plate, and Foil Manufacturing",0.8690000176429749,1,Very High
331318,"Other Aluminum Rolling, Drawing, and Extruding",0.8690000176429749,1,Very High
324110,Petroleum Refineries,0.859000027179718,1,Very High
324191,Petroleum Lubricating Oil and Grease Manufacturing,0.8479999899864197,1,Very High
324199,All Other Petroleum and Coal Products Manufacturing,0.8479999899864197,1,Very High
313110,"Fiber, Yarn, and Thread Mills",0.8370000123977661,1,Very High
211120,Crude Petroleum Extraction,0.8299999833106995,1,Very High
211130,Natural Gas Extraction,0.8299999833106995,1,Very High
311119,Other Animal Food Manufacturing,0.8090000152587891,1,Very High
322130,Paperboard Mills,0.8029999732971191,1,Very High
325910,Printing Ink Manufacturing,0.7839999794960022,1,Very High
326160,Plastics Bottle Manufacturing,0.7829999923706055,1,Very High
311225,Fats and Oils Refining and Blending,0.7559999823570251,1,Very High
322121,Paper (except Newsprint) Mills,0.7369999885559082,1,Very High
322122,Newsprint Mills,0.7369999885559082,1,Very High
311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",0.7179999947547913,1,Very High
311412,Frozen Specialty Food Manufacturing,0.7179999947547913,1,Very High
325520,Adhesive Manufacturing,0.7139999866485596,1,Very High
336370,Motor Vehicle Metal Stamping,0.7080000042915344,1,Very High
331410,Nonferrous Metal (except Aluminum) Smelting and Refining,0.6949999928474426,1,Very High
212321,Construction Sand and Gravel Mining,0.6919999718666077,1,Very High
212322,Industrial Sand Mining,0.6919999718666077,1,Very High
212324,Kaolin and Ball Clay Mining,0.6919999718666077,1,Very High
212325,Clay and Ceramic and Refractory Minerals Mining,0.6919999718666077,1,Very High
212391,"Potash, Soda, and Borate Mineral Mining",0.6919999718666077,1,Very High
212392,Phosphate Rock Mining,0.6919999718666077,1,Very High
212393,Other Chemical and Fertilizer Mineral Mining,0.6919999718666077,1,Very High
212399,All Other Nonmetallic Mineral Mining,0.6919999718666077,1,Very High
327320,Ready-Mix Concrete Manufacturing,0.6869999766349792,1,Very High
332114,Custom Roll Forming,0.6729999780654907,1,Very High
221310,Water Supply and Irrigation Systems,0.6520000100135803,1,Very High
221320,Sewage Treatment Facilities,0.6520000100135803,1,Very High
221330,Steam and Air-Conditioning Supply,0.6520000100135803,1,Very High
327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,0.6439999938011169,1,Very High
332111,Iron and Steel Forging,0.640999972820282,1,Very High
332112,Nonferrous Forging,0.640999972820282,1,Very High
332117,Powder Metallurgy Part Manufacturing,0.640999972820282,1,Very High
311615,Poultry Processing,0.6399999856948853,1,Very High
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",0.6399999856948853,1,Very High
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",0.6399999856948853,1,Very High
